epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,101.457,0.74013,0.47453,0.99191,0.97762,0.98777,0.98945,0.81045,0.67451,0.44701,0.92888,0.0011774,0.0011774,0.0011774
91,102.567,0.70655,0.47871,0.96838,0.98348,0.99386,0.98291,0.80212,0.7121,0.42264,0.94186,0.0011719,0.0011719,0.0011719
92,103.879,0.7143,0.45383,0.97377,0.97394,0.99509,0.98488,0.82085,0.66466,0.41514,0.92586,0.0011664,0.0011664,0.0011664
93,104.992,0.72665,0.47264,0.9766,0.96665,0.9871,0.98177,0.82062,0.68186,0.41912,0.93224,0.0011609,0.0011609,0.0011609
94,106.086,0.72493,0.48414,0.9869,0.9761,0.99435,0.99157,0.81861,0.66944,0.43214,0.93336,0.0011554,0.0011554,0.0011554
95,107.193,0.69822,0.45156,0.97452,0.97789,0.99907,0.99032,0.8284,0.64829,0.4448,0.916,0.0011499,0.0011499,0.0011499
96,108.301,0.69941,0.4722,0.97724,0.97034,1,0.99058,0.82264,0.64795,0.42943,0.91058,0.0011444,0.0011444,0.0011444
97,109.408,0.73848,0.47617,0.99936,0.96952,1,0.99189,0.82542,0.66153,0.44083,0.91258,0.00113889,0.00113889,0.00113889
98,110.509,0.75873,0.49898,1.00523,0.97095,1,0.99243,0.83939,0.65731,0.43631,0.9103,0.00113339,0.00113339,0.00113339
99,111.625,0.71181,0.45397,0.95774,0.97093,0.99167,0.99273,0.82681,0.68496,0.45915,0.91944,0.00112789,0.00112789,0.00112789
100,112.731,0.71992,0.46198,0.96628,0.96611,0.99167,0.99046,0.80939,0.70735,0.45478,0.92958,0.00112239,0.00112239,0.00112239
101,113.834,0.73881,0.47764,0.97287,0.96885,1,0.99014,0.81414,0.69558,0.43337,0.92788,0.00111689,0.00111689,0.00111689
102,114.943,0.76482,0.49156,0.9863,0.97704,1,0.99057,0.8141,0.6784,0.41213,0.93086,0.00111139,0.00111139,0.00111139
103,116.065,0.72971,0.47703,0.98191,0.97922,1,0.99083,0.8278,0.68643,0.40719,0.93984,0.00110589,0.00110589,0.00110589
104,117.175,0.70008,0.44471,0.96748,0.96638,0.99119,0.98377,0.82906,0.67864,0.41164,0.92437,0.00110039,0.00110039,0.00110039
105,118.279,0.7058,0.45272,0.96636,0.9737,0.99963,0.98981,0.83835,0.66063,0.40748,0.91303,0.00109489,0.00109489,0.00109489
106,119.384,0.66015,0.43754,0.96633,0.98078,1,0.9913,0.83801,0.64485,0.37923,0.90972,0.00108938,0.00108938,0.00108938
107,120.497,0.70166,0.44607,0.96946,0.98709,1,0.99287,0.81573,0.69385,0.3788,0.92969,0.00108388,0.00108388,0.00108388
108,121.619,0.71266,0.45634,0.98767,0.98049,1,0.99176,0.83075,0.64348,0.36263,0.91451,0.00107838,0.00107838,0.00107838
109,122.751,0.71493,0.45172,0.95171,0.98003,1,0.99087,0.83133,0.64934,0.37637,0.93039,0.00107288,0.00107288,0.00107288
110,123.86,0.74361,0.43964,0.96736,0.97811,1,0.99031,0.83074,0.64609,0.38527,0.91981,0.00106738,0.00106738,0.00106738
111,124.967,0.6748,0.43444,0.94215,0.97247,1,0.98798,0.82358,0.65747,0.40599,0.92787,0.00106188,0.00106188,0.00106188
112,126.079,0.71312,0.44256,0.97147,0.97449,1,0.98262,0.80783,0.68054,0.41614,0.93568,0.00105638,0.00105638,0.00105638
113,127.187,0.70819,0.44253,0.97811,0.96716,0.99067,0.97861,0.81543,0.67977,0.44228,0.92897,0.00105088,0.00105088,0.00105088
114,128.289,0.71376,0.43205,0.97014,0.95988,1,0.98536,0.82771,0.67312,0.42895,0.92398,0.00104538,0.00104538,0.00104538
115,129.402,0.72811,0.44858,0.99351,0.96862,0.98864,0.98593,0.8228,0.65798,0.42344,0.9241,0.00103987,0.00103987,0.00103987
116,130.504,0.71727,0.46262,0.96359,0.96765,0.98864,0.98762,0.83413,0.6471,0.41512,0.91758,0.00103437,0.00103437,0.00103437
117,131.612,0.67446,0.4351,0.96932,0.97766,0.98864,0.98892,0.83202,0.65439,0.39573,0.91456,0.00102887,0.00102887,0.00102887
118,132.713,0.68737,0.43689,0.97119,0.98091,0.9927,0.98798,0.83497,0.63262,0.3813,0.905,0.00102337,0.00102337,0.00102337
119,133.837,0.69116,0.42548,0.96352,0.97385,0.98837,0.97989,0.83058,0.66431,0.39577,0.91375,0.00101787,0.00101787,0.00101787
120,134.95,0.70743,0.46132,0.9764,0.98267,0.99232,0.98565,0.80303,0.68115,0.40718,0.92671,0.00101237,0.00101237,0.00101237
121,136.098,0.67893,0.43255,0.95491,0.98234,0.98493,0.98256,0.81323,0.66246,0.40811,0.91857,0.00100687,0.00100687,0.00100687
122,137.24,0.67687,0.43594,0.95686,0.9827,0.9924,0.98922,0.83376,0.68248,0.38697,0.92172,0.00100137,0.00100137,0.00100137
123,138.35,0.7049,0.4395,0.95441,0.98259,0.99328,0.98914,0.83544,0.68115,0.38249,0.92219,0.000995866,0.000995866,0.000995866
124,139.466,0.67973,0.44021,0.9626,0.98385,0.99399,0.99014,0.82552,0.66007,0.36424,0.92134,0.000990365,0.000990365,0.000990365
125,140.603,0.71434,0.45745,0.977,0.97444,1,0.98854,0.82535,0.66599,0.36329,0.92248,0.000984864,0.000984864,0.000984864
126,141.714,0.67431,0.44164,0.95621,0.97544,0.99322,0.98626,0.82833,0.63491,0.36364,0.90936,0.000979362,0.000979362,0.000979362
127,142.831,0.69194,0.44302,0.97099,0.97995,0.98864,0.98278,0.82414,0.62191,0.38288,0.9067,0.000973861,0.000973861,0.000973861
128,143.956,0.66867,0.4314,0.95662,0.97509,0.99469,0.98864,0.82359,0.64865,0.4092,0.90973,0.00096836,0.00096836,0.00096836
129,145.072,0.6843,0.41755,0.95067,0.97821,0.99892,0.98881,0.83472,0.65,0.46536,0.91928,0.000962859,0.000962859,0.000962859
130,146.195,0.71661,0.44982,0.96826,0.97684,0.99864,0.98884,0.83822,0.66044,0.47443,0.92252,0.000957358,0.000957358,0.000957358
131,147.317,0.65989,0.42409,0.94795,0.97743,0.99868,0.99052,0.84113,0.66703,0.40496,0.91452,0.000951857,0.000951857,0.000951857
132,148.444,0.67386,0.41918,0.94785,0.98026,0.99981,0.99172,0.83771,0.67909,0.36615,0.91789,0.000946356,0.000946356,0.000946356
