epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,182.88,0.75236,0.47705,1.14353,0.96413,0.99396,0.98892,0.84552,0.74489,0.46524,1.20974,0.0011587,0.0011587,0.0011587
156,184.036,0.75615,0.4542,1.16161,0.97262,0.9932,0.99108,0.85466,0.69804,0.43055,1.17211,0.0011554,0.0011554,0.0011554
157,185.196,0.76921,0.46988,1.14122,0.97296,0.9966,0.99162,0.85138,0.69082,0.42902,1.15422,0.0011521,0.0011521,0.0011521
158,186.349,0.73149,0.46358,1.11726,0.96038,1,0.99129,0.8512,0.71555,0.45357,1.20317,0.0011488,0.0011488,0.0011488
159,187.506,0.71242,0.44717,1.14454,0.96367,0.99391,0.98978,0.86765,0.61068,0.43557,1.11055,0.0011455,0.0011455,0.0011455
160,188.67,0.70841,0.46068,1.14377,0.97482,1,0.99244,0.84594,0.70851,0.43264,1.19604,0.0011422,0.0011422,0.0011422
161,189.828,0.70742,0.45331,1.12069,0.97039,0.99586,0.99221,0.85837,0.6282,0.43236,1.12351,0.00113889,0.00113889,0.00113889
162,190.993,0.70219,0.46046,1.15146,0.97001,0.9966,0.99071,0.86827,0.65051,0.42825,1.13268,0.00113559,0.00113559,0.00113559
163,192.157,0.74526,0.47005,1.17207,0.9722,0.99186,0.99215,0.83945,0.71167,0.44743,1.22403,0.00113229,0.00113229,0.00113229
164,193.323,0.70222,0.44904,1.15352,0.97399,1,0.99273,0.87482,0.6553,0.44016,1.12961,0.00112899,0.00112899,0.00112899
165,194.517,0.71915,0.45421,1.16665,0.97351,0.99554,0.99089,0.85288,0.72365,0.43072,1.16725,0.00112569,0.00112569,0.00112569
166,195.66,0.70324,0.43484,1.18019,0.97013,0.99701,0.98969,0.87771,0.59926,0.41678,1.10654,0.00112239,0.00112239,0.00112239
167,196.84,0.69931,0.44141,1.14163,0.96538,0.9966,0.98973,0.85146,0.68365,0.43223,1.21326,0.00111909,0.00111909,0.00111909
168,198.015,0.75277,0.45221,1.17192,0.96209,0.9966,0.98737,0.86244,0.65903,0.45218,1.13688,0.00111579,0.00111579,0.00111579
169,199.169,0.71218,0.44856,1.13675,0.96792,0.9932,0.99262,0.85565,0.70598,0.43075,1.17976,0.00111249,0.00111249,0.00111249
170,200.333,0.70656,0.44542,1.15388,0.98155,0.99501,0.99396,0.88209,0.59919,0.39428,1.10431,0.00110919,0.00110919,0.00110919
171,201.5,0.7308,0.47495,1.13711,0.97727,0.97853,0.99182,0.82687,0.75034,0.43551,1.22173,0.00110589,0.00110589,0.00110589
172,202.661,0.68538,0.4543,1.10903,0.97528,0.9898,0.99266,0.86579,0.60104,0.43017,1.10932,0.00110259,0.00110259,0.00110259
173,203.802,0.70527,0.4552,1.12411,0.984,0.99567,0.99437,0.87027,0.61181,0.40538,1.10407,0.00109929,0.00109929,0.00109929
174,204.946,0.66583,0.44221,1.10978,0.96851,0.98905,0.98957,0.88377,0.60645,0.41127,1.0893,0.00109599,0.00109599,0.00109599
175,206.115,0.6644,0.44242,1.09726,0.97594,0.99677,0.99183,0.86402,0.64198,0.41043,1.12683,0.00109269,0.00109269,0.00109269
176,207.261,0.65579,0.44803,1.09597,0.97272,1,0.99164,0.89236,0.53762,0.37573,1.06088,0.00108938,0.00108938,0.00108938
177,208.417,0.64704,0.43509,1.10033,0.98146,0.99823,0.99234,0.87371,0.59431,0.38943,1.08668,0.00108608,0.00108608,0.00108608
178,209.558,0.67525,0.4429,1.09,0.98182,1,0.99264,0.88398,0.55644,0.38229,1.06904,0.00108278,0.00108278,0.00108278
179,210.715,0.62844,0.41925,1.08286,0.97857,0.99721,0.99312,0.88576,0.58769,0.37308,1.07903,0.00107948,0.00107948,0.00107948
180,211.894,0.67768,0.43594,1.09805,0.97142,1,0.98762,0.88165,0.60702,0.39785,1.09244,0.00107618,0.00107618,0.00107618
181,213.057,0.64595,0.43967,1.09315,0.97779,0.99845,0.98847,0.86802,0.61732,0.42053,1.11112,0.00107288,0.00107288,0.00107288
182,214.233,0.66871,0.43326,1.08675,0.96666,0.99289,0.99173,0.85786,0.63164,0.43479,1.11147,0.00106958,0.00106958,0.00106958
